title,isbn,doi
"Modern Aspects Of The Laws Of Naval Warfare And Maritime Neutrality","9781315029993","10.4324/9781315029993"
"Container Logistics and Maritime Transport","9780429320996","10.4324/9780429320996"
"Lloyd's Maritime Atlas of World Ports and Shipping Places 2020-2021","9781003122470","10.4324/9781003122470"
"The Routledge Companion to Marine and Maritime Worlds 1400-1800","9781003048503","10.4324/9781003048503"
"The Maritime Archaeology of a Modern Conflict","9781315747545","10.4324/9781315747545"
"Migrants and the Making of the Urban-Maritime World","9781003088950","10.4324/9781003088950"
"India-China Maritime Competition","9780429444227","10.4324/9780429444227"
"Aboriginal Maritime Landscapes in South Australia","9781351243773","10.4324/9781351243773"
"Commercial and Maritime Statutes","9781315850511","10.4324/9781315850511"
"International Maritime Transport","9780203005651","10.4324/9780203005651"
"International Maritime Transport Costs","9781315589442","10.4324/9781315589442"
"The Routledge Handbook of Maritime Trade around Europe 1300-1600","9781315278575","10.4324/9781315278575"
"The International Court of Justice in Maritime Disputes","9780429439216","10.4324/9780429439216"
"Liability Regimes in Contemporary Maritime Law","9781003122807","10.4324/9781003122807"
"Maritime Piracy and the Construction of Global Governance","9780203111550","10.4324/9780203111550"
"The Aegean Maritime Disputes and International Law","9781315241487","10.4324/9781315241487"
"International Maritime Conventions (Volume 2)","9781315794969","10.4324/9781315794969"
"Routledge Revivals: Maritime Boundaries and Ocean Resources (1987)","9781351135511","10.4324/9781351135511"
"Maritime Liabilities in a Global and Regional Context","9781351028141","10.4324/9781351028141"
"Maritime-Port Technology and Development","9780429226670","10.1201/b17517"
"Ports and the Environment","9781315673639","10.4324/9781315673639"
"Maritime Risk and Organizational Learning","9781315593937","10.1201/9781315593937"
"Danger, Development and Legitimacy in East Asian Maritime Politics","9781315107196","10.4324/9781315107196"
"Underwater and Maritime Archaeology in Latin America and the Caribbean","9781315416090","10.4324/9781315416090"
"Containerization in Maritime Transport","9781003330127","10.1201/9781003330127"
"Britain, Canada and the North Pacific: Maritime Enterprise and Dominion, 1778–1914","9781003418580","10.4324/9781003418580"
"Maritime Technology and Engineering","9780429226663","10.1201/b17494"
"Maritime Engineering and Technology","9780429216961","10.1201/b12726"
"International Maritime Conventions (Volume 3)","9781315778297","10.4324/9781315778297"
"Marine Navigation and Safety of Sea Transportation","9780429227912","10.1201/b14960"
"How to Grow a Navy","9781003100553","10.4324/9781003100553"
"Marine Navigation and Safety of Sea Transportation","9780429227929","10.1201/b14959"
"Government, Imperialism and Nationalism in China","9780203075845","10.4324/9780203075845"
"Insurance Law Implications of Delay in Maritime Transport","9781315544564","10.4324/9781315544564"
"The Maritime Labour Convention 2006: International Labour Law Redefined","9781315856827","10.4324/9781315856827"
"Geopolitics and Maritime Territorial Disputes in East Asia","9780203875018","10.4324/9780203875018"
"Corporate Manslaughter in the Maritime and Aviation Industries","9781315677873","10.4324/9781315677873"
"Responsibility and Accountability in Maritime Law","9781003266839","10.4324/9781003266839"
"The World Encompassed","9781351014717","10.4324/9781351014717"
"Land Based Air Power or Aircraft Carriers?","9781315591315","10.4324/9781315591315"
"Ocean as Method","9781003279754","10.4324/9781003279754"
"International Maritime Conventions (Volume 1)","9781315796451","10.4324/9781315796451"
"Advances in Shipping Data Analysis and Modeling","9781315271446","10.4324/9781315271446"
"Maritime Transportation: Safety Management and Risk Analysis","9780080473369","10.4324/978080473369"
"US Naval Strategy and National Security","9781315624679","10.4324/9781315624679"
"Ships and the Development of Maritime Technology on the Indian Ocean","9781315810737","10.4324/9781315810737"
"Coastal Shrines and Transnational Maritime Networks across India and Southeast Asia","9780429285233","10.4324/9780429285233"
"Developments in the Baltic Maritime Marketplace","9780429461088","10.4324/9780429461088"
"Britain's Imperial Cornerstone in China","9780203315125","10.4324/9780203315125"
"The Unctad Liner Code","9780429315633","10.4324/9780429315633"
"Merchants and Trade Networks in the Atlantic and the Mediterranean, 1550-1800","9781315642147","10.4324/9781315642147"
"Preventing Terrorist Attacks at Sea","9780429320958","10.4324/9780429320958"
"Developments in Maritime Transport and Logistics in Turkey","9781315257976","10.4324/9781315257976"
"Limitation of Liability in International Maritime Conventions","9780203834039","10.4324/9780203834039"
"Regime Interaction and Climate Change","9781315451817","10.9774/gleaf.9781315451817"
"Routledge Handbook of Maritime Regulation and Enforcement","9781315890241","10.4324/9781315890241"
"Cargo Work","9780080457390","10.4324/9780080457390"
"Cargo Work","9781315727714","10.4324/9781315727714"
"Mediterranean Connections","9781315537009","10.4324/9781315537009"
"Ship Operations","9781003000754","10.4324/9781003000754"
"A Global Union for Global Workers","9780203960158","10.4324/9780203960158"
"Security and Territoriality in the Persian Gulf","9781315027548","10.4324/9781315027548"
"Rediscovering Corbett","9781003305873","10.4324/9781003305873"
"Imperial Rome, Indian Ocean Regions and Muziris","9781315276823","10.4324/9781315276823"
"Maritime Salvage Operations and Environmental Protection","9781003315506","10.4324/9781003315506"
"Coastal Recreation Management","9781315024851","10.4324/9781315024851"
"Re-inventing the Ship","9781315604657","10.4324/9781315604657"
"Miscellaneous Problems in Maritime Navigation, Transport and Shipping","9780429217371","10.1201/b11346"
"The South China Sea","9780429331480","10.4324/9780429331480"
"Warfare at Sea, 1500-1650","9780203024560","10.4324/9780203024560"
"Kings Customs","9781315031378","10.4324/9781315031378"
"Terra Aqua","9781003282471","10.4324/9781003282471"
"Sustainable Maritime Transportation and Exploitation of Sea Resources","9780429098444","10.1201/b11810"
"Human Factors in Transportation","9781315370460","10.1201/9781315370460"
"Developments in Maritime Transportation and Exploitation of Sea Resources","9780429082382","10.1201/b15813"
"Superships And Nationstates","9780429307959","10.4324/9780429307959"
"Port Jews","9781315039312","10.4324/9781315039312"
"Warfare and Empires","9781315234373","10.4324/9781315234373"
"Muslim Architecture of South India","9781315016191","10.4324/9781315016191"
"Sustainable Development and Innovations in Marine Technologies","9781003358961","10.1201/9781003358961"
"Sounding the Dance, Moving the Music","9781315609959","10.4324/9781315609959"
"Human Resources and Crew Resource Management","9781315266299","10.4324/9781315266299"
"Routledge Handbook of Naval Strategy and Security","9781315732572","10.4324/9781315732572"
"Violence at Sea","9780203943489","10.4324/9780203943489"
"Indian Naval Strategy in the Twenty-first Century","9780203878026","10.4324/9780203878026"
"India’s Naval Diplomacy","9781003289272","10.4324/9781003289272"
"Understanding Naval Warfare","9781315227818","10.4324/9781315227818"
"Ethnic Labour and British Imperial Trade","9781315036304","10.4324/9781315036304"
"Seapower","9780203337837","10.4324/9780203337837"
"The American Merchant Seaman and His Industry","9781315211725","10.4324/9781315211725"
"Southeast Asia and the Rise of Chinese and Indian Naval Power","9780203856024","10.4324/97802038566024"
"Berlingieri on Arrest of Ships Volume II","9781315412818","10.4324/9781315412818"
"Seapower in the Nuclear Age","9781003104360","10.4324/9781003104360"
"The Rise of the Indian Navy","9781315553399","10.4324/9781315553399"
"Ship Management","9781003081241","10.4324/9781003081241"
"Berlingieri on Arrest of Ships","9780203719237","10.4324/9780203719237"
"Mediterranean Cities","9781315827919","10.4324/9781315827919"
"Naval Strategy in Northeast Asia","9780203045008","10.4324/9780203045008"
"Re-Imagining the Museum","9780203361023","10.4324/9780203361023"
"Law of the Sea in South East Asia","9780429021053","10.4324/9780429021053"
"The Bakassi Dispute and the International Court of Justice","9781315613864","10.4324/9781315613864"
"Seapower","9780203105917","10.4324/9780203105917"
"Forum Shopping","9781315850313","10.4324/9781315850313"
"Piracy in Southeast Asia","9781315545264","10.4324/9781315545264"
"Seapower","9780203880487","10.4324/9780203880487"
"Berlingieri on Arrest of Ships Volume I","9781315629407","10.4324/9781315629407"
"Time-barred Actions","9781003122937","10.4324/9781003122937"
"Places of Refuge","9781003122883","10.4324/9781003122883"
"Beijing's Power and China's Borders","9781315719320","10.4324/9781315719320"
"Twenty-First Century Seapower","9780203119778","10.4324/9780203119778"
"Management of Shipping Companies","9781315641294","10.4324/9781315641294"
"EU Shipping Law","9781315626147","10.4324/9781315626147"
"Rethinking South China Sea Disputes","9781315672977","10.4324/9781315672977"
"Seafaring and the Jews","9780203045527","10.4324/9780203045527"
"Handbook for Marine Radio Communication","9781315766393","10.4324/9781315766393"
"GMDSS for Navigators","9781315042688","10.4324/9781315042688"
"Shipping in Turkey","9780429436680","10.4324/9780429436680"
"The Development of Integrated Sea Use Management","9780203406038","10.4324/9780203406038"
"Negotiations in the Case Law of the International Court of Justice","9781315597737","10.4324/9781315597737"
"Managing Human Resources in the Shipping Industry","9781315740027","10.4324/9781315740027"
"Handbook for Marine Radio Communication","9781842145807","10.4324/9781842145807"
"Handbook for Marine Radio Communication","9781003171294","10.4324/9781003171294"
"Seapower","9781315621210","10.4324/9781315621210"
"The Security of Sea Lanes of Communication in the Indian Ocean Region","9781315681368","10.4324/9781315681368"
"Naval Strategy and Operations in Narrow Seas","9780203044667","10.4324/9780203044667"
"Cultural Representations of Piracy in England, Spain, and the Caribbean","9781003141495","10.4324/9781003141495"
"The Development of British Naval Thinking","9780203485620","10.4324/9780203485620"
"Managing Global Risks in the Urban Age","9781315593562","10.4324/9781315593562"
"Latin America and the International Court of Justice","9781315717890","10.4324/9781315717890"
"Operational Warfare at Sea","9781315402949","10.4324/9781315402949"
"New Regional Geopolitics in the Indo-Pacific","9781315677392","10.4324/9781315677392"
"African Navies","9781003309154","10.4324/9781003309154"
"India's Naval Strategy and Asian Security","9781315668512","10.4324/9781315668512"
"New Great Game in the Indo-Pacific","9781003030119","10.4324/9781003030119"
"The Routledge Handbook of Ocean Space","9781315111643","10.4324/9781315111643"
"The Law of Wreck","9781315459578","10.4324/9781315459578"
"Polish Shipping Under Communism","9781315202280","10.4324/9781315202280"
"New Futures for BIMSTEC","9781003230687","10.4324/9781003230687"
"The United States Navy’s Pivot to Asia","9781003372509","10.4324/9781003372509"
"Unmanned and Autonomous Ships","9780429450655","10.1201/9780429450655"
"The International Law of the Shipmaster","9780203584859","10.4324/9780203584859"
"Transport Systems and Processes","9780429217364","10.1201/b11347"
"Cartner on the International Law of the Shipmaster","9781315766379","10.4324/9781315766379"
"Somali Piracy","9781315563053","10.4324/9781315563053"
"Port Management and Operations","9780203796689","10.4324/9780203796689"
"The Orang Suku Laut of Riau, Indonesia","9780203644232","10.4324/9780203644232"
"The Unintended Consequences of Interregionalism","9781003093749","10.4324/9781003093749"
"The Healy Lectures","9781315086293","10.4324/9781315086293"
"Operational Warfare at Sea","9780203889954","10.4324/9780203889954"
"The State","9781351302647","10.4324/9781351302647"
"Economic Liberalization and Turkey","9780203855096","10.4324/9780203855096"
"Safety of Marine Transport","9780429225871","10.1201/b18515"
"Cooperative Security in the Asia-Pacific","9780203863114","10.4324/9780203863114"
"The Limits of British Colonial Control in South Asia","9780203892442","10.4324/9780203892442"
"Economics of the Oceans","9780203083611","10.4324/9780203083611"
"The York-Antwerp Rules: The Principles and Practice of General Average Adjustment","9781315796215","10.4324/9781315796215"
"The Extension of Coastal State Jurisdiction in Enclosed or Semi-Enclosed Seas","9780203074725","10.4324/9780203074725"
"Introduction to Ship Engine Room Systems","9781003321095","10.1201/9781003321095"
"Great Potential, Many Pitfalls","9781003054788","10.4324/9781003054788"
"The Geopolitics of East Asia","9780203008409","10.4324/9780203008409"
"Conflict Management and Dispute Settlement in East Asia","9781315573397","10.4324/9781315573397"
"Crime and Terrorism Risk","9780203894477","10.4324/9780203894477"
"Activities in Navigation","9780429225864","10.1201/b18513"
"Information, Communication and Environment","9780429225857","10.1201/b18514"
"Techniques for Ship Handling and Bridge Team Management","9780429316272","10.1201/9780429316272"
"Indonesia’s Foreign Policy and Grand Strategy in the 21st Century","9781315560977","10.4324/9781315560977"
"Philippine Security in the Age of Terror","9780429245022","10.1201/9781439815519"
"Marine Management in Disputed Areas","9780203983713","10.4324/9780203983713"
"The Merchant Marine in International Affairs, 1850-1950","9781315038117","10.4324/9781315038117"
"China Turns to Multilateralism","9780203946329","10.4324/9780203946329"
"India's Ocean","9781315815244","10.4324/9781315815244"
"Macau","9780429499128","10.4324/9780429499128"
"Transboundary Marine Spatial Planning and International Law","9781315816425","10.4324/9781315816425"
"Chinese Naval Strategy in the 21st Century","9780203946633","10.4324/9780203946633"
"China's New Silk Road","9781351134354","10.4324/9781351134354"
"Geo-economics and Geo-securities in the Indian Ocean Region","9781315466972","10.4324/9781315466972"
"Indonesia and the Indo-Pacific","9781003395317","10.4324/9781003395317"
"UN Convention on the Law of the Sea and the South China Sea","9781315549439","10.4324/9781315549439"
"Exercising Control of the Sea","9780429286582","10.4324/9780429286582"
"Understanding Naval Warfare","9781315882260","10.4324/9781315882260"
"Naval Coalition Warfare","9780429241642","10.4324/9780203945322"
"Trade and Traders in Early Indian Society","9781003084129","10.4324/9781003084129"
"Seaman's Guide to Human Factors, Leadership, and Personnel Management","9780429243059","10.1201/9780429243059"
"Human Security in a Borderless World","9780429499951","10.4324/9780429499951"
"China's Provinces and the Belt and Road Initiative","9781003129707","10.4324/9781003129707"
"The Geography of Transport Systems","9780203001110","10.4324/9780203001110"
"Exploration of the South Seas in the Eighteenth Century","9781315537399","10.4324/9781315537399"
"Exploration of the South Seas in the Eighteenth Century: Rediscovered Accounts, Volume II","9781315537351","10.4324/9781315537351"
"The EU in Southeast Asian Security","9781003108672","10.4324/9781003108672"
"Shipbuilding, Navigation and the Portuguese in Pre-modern India","9781315101187","10.4324/9781315101187"
"Modern Admiralty Law","9781843141969","10.4324/9781843141969"
"US-China Competition and the South China Sea Disputes","9781351214308","10.4324/9781351214308"
"China's Presence in the Middle East","9781315185736","10.4324/9781315185736"
"The Route to European Hegemony","9781003163336","10.4324/9781003163336"
"International Conflict and Cyberspace Superiority","9781315688183","10.4324/9781315688183"
"Geopolitics and the Indo-Pacific Region","9780429425615","10.4324/9780429425615"
"International Recent Issues about ECDIS, e-Navigation and Safety at Sea","9780429217418","10.1201/b11342"
"Marine Navigation and Safety of Sea Transportation","9780429206702","10.1201/9780203869345"
"Underwater Domain Awareness","9781003298380","10.4324/9781003298380"
"The Structure of Political Geography","9781315135267","10.4324/9781315135267"
"International Aviation Labour Law","9781003288107","10.4324/9781003288107"
"Trials from Classical Athens","9780203130476","10.4324/9780203130476"
"Soviet Union & Northern Water","9781315001807","10.4324/9781315001807"
"The Criminalisation of People Smuggling in Indonesia and Australia","9781003211792","10.4324/9781003211792"
"Navigational Systems and Simulators","9780429217401","10.1201/b11343"
"China’s Regional Relations in Comparative Perspective","9781315571652","10.4324/9781315571652"
"Diwan Revisited","9781315029986","10.4324/9781315029986"
"China’s Big Power Ambition under Xi Jinping","9781003198871","10.4324/9781003198871"
"Brotherhood of the Sea","9780429336201","10.4324/9780429336201"
"Merchants And Faith","9780429498992","10.4324/9780429498992"
"India's National Security","9781315390123","10.4324/9781315390123"
"Disease in the Merchant Navy","9781315365374","10.1201/9781315365374"
"Decision Modes in Complex Task Environments","9781315116303","10.1201/9781315116303"
"Port State Control","9781315089614","10.4324/9781315089614"
"Innovation Policies and Practices within Innovation Ecosystems","9781003279464","10.4324/9781003279464"
"Indonesian Sea Nomads","9780203988718","10.4324/9780203988718"
"India's Strategy in the South China Sea","9780429027994","10.4324/9780429027994"
"Indian Ocean Histories","9780367334864","10.4324/9780367334864"
"Illustrated Dictionary of Cargo Handling","9781315832715","10.4324/9781315832715"
"Ports and Networks","9781315601540","10.4324/9781315601540"
"A History of Greek-Owned Shipping","9780203993323","10.4324/9780203993323"
"The Ferriby Boats","9781315746333","10.4324/9781315746333"
"The Countries And Tribes Of The Persian Gulf","9781003073598","10.4324/9781003073598"
"Small Island, Large Ocean","9781003395645","10.4324/9781003395645"
"Policing, Port Security and Crime Control","9781315637174","10.4324/9781315637174"
"Disruptive Technologies, Climate Change and Shipping","9781003155195","10.4324/9781003155195"
"Laytime and Demurrage","9781315689470","10.4324/9781315689470"
"China in India's Post-Cold War Engagement with Southeast Asia","9780367480066","10.4324/9780367480066"
"Laytime and Demurrage","9781003198406","10.4324/9781003198406"
"Regulating Refugee Protection Through Social Welfare","9781003298595","10.4324/9781003298595"
"General Average","9781315099842","10.4324/9781315099842"
"The Employment of Merchant Seamen","9781315209487","10.4324/9781315209487"
"Mary Celeste","9781315834580","10.4324/9781315834580"
"Means of Transportation and Registration of Nationality","9781315814445","10.4324/9781315814445"
"The Soviet Union and Northern Waters","9781003096368","10.4324/9781003096368"
"Arbitration Law Handbook","9781003122661","10.4324/9781003122661"
"Indian Ocean Regionalism","9781315742373","10.4324/9781315742373"
"Chinese in Eastern Europe and Russia","9780203933961","10.4324/9780203933961"
"The Sea Voyage Narrative","9780203953570","10.4324/9780203953570"
"Arctic Archaeology","9780203060216","10.4324/9780203060216"
"The Ecosystem Approach to Marine Planning and Management","9781849775533","10.4324/9781849775533"
"Shipping Business Unwrapped","9781315231341","10.4324/9781315231341"
"Globalizing Chinese Migration","9781003073673","10.4324/9781003073673"
"China, Faits Accomplis and the Contest for East Asia","9781003317449","10.4324/9781003317449"
"Comparative Analysis of Interim Measures – Interim Remedies (England & Wales) v Preservation Measures (China)","9781003000310","10.4324/9781003000310"
"Indo-Pacific Strategies","9781003206934","10.4324/9781003206934"
"Marine Navigation and Safety of Sea Transportation","9780429227899","10.1201/b14962"
"Naval Peacekeeping and Humanitarian Operations","9780203887233","10.4324/9780203887233"
"Law, Force and Diplomacy at Sea (Routledge Revivals)","9781315769578","10.4324/9781315769578"
"Dimensions of Counter-insurgency","9780429238482","10.4324/9780203825860"
"China and Southeast Asia","9780429489518","10.4324/9780429489518"
"The Bear Watches the Dragon","9781315290539","10.4324/9781315290539"
"Empire and Local Worlds","9781315429731","10.4324/9781315429731"
"The Challenge of Global Commons and Flows for US Power","9781315614373","10.4324/9781315614373"
"Western Geopolitical Thought in the Twentieth Century","9781315747125","10.4324/9781315747125"
"Land, Sea and Home","9781003077183","10.4324/9781003077183"
"The Routledge Handbook of European Security Law and Policy","9780429465918","10.4324/9780429465918"
"The Geography of Transport Systems","9781315618159","10.4324/9781315618159"
"Information and Revolutions in Military Affairs","9780203086902","10.4324/9780203086902"
"Rethinking Labour in Africa, Past and Present","9781315874975","10.4324/9781315874975"
"Global Geopolitical Flashpoints","9781315062464","10.4324/9781315062464"
"Break Bulk and Cargo Management","9781003256359","10.4324/9781003256359"
"UNCLOS and Ocean Dispute Settlement","9780203111215","10.4324/9780203111215"
"Dictionary of Shipping Terms","9780203362013","10.4324/9780203362013"
"China, East Asia and the Global Economy","9780203895566","10.4324/9780203895566"
"Belt and Road Initiative and South Asia","9781003399834","10.4324/9781003399834"
"Medieval Flanders","9781315846668","10.4324/9781315846668"
"China's Economic and Political Presence in the Middle East and South Asia","9781003269175","10.4324/9781003269175"
"Understanding GMDSS","9780080928579","10.4324/9780080928579"
"Anti-Submarine Warfare in World War I","9780203086230","10.4324/9780203086230"
"European and Non-European Societies, 1450–1800","9780429443602","10.4324/9780429443602"
"Merchant Shipping Act 1995: An Annotated Guide","9781003122647","10.4324/9781003122647"
"Insurance Law in China","9781315768021","10.4324/9781315768021"
"Admiralty Jurisdiction and Practice","9781315689463","10.4324/9781315689463"
"Port Security Management","9780429249457","10.1201/9781420068931"
"Twentieth Century Colonialism and China","9780203125458","10.4324/9780203125458"
"The Rise and Fall of Russia's Far Eastern Republic, 1905–1922","9780429455278","10.4324/9780429455278"
"Arbitration Concerning the South China Sea","9781315567488","10.4324/9781315567488"
"China's Policy towards the South China Sea","9781315158709","10.4324/9781315158709"
"Challenging History in the Museum","9781315571171","10.4324/9781315571171"
"China and the West","9780429464065","10.4324/9780429464065"
"Admiralty Jurisdiction and Practice","9780203721643","10.4324/9780203721643"
"Supply Chain Management and Transport Logistics","9780203805862","10.4324/9780203805862"
